0,0,volt,time,,,,,,
1.471163245,301,1.471163245,3.343514478,,,,,,
1.520039101,311,1.520039101,3.348223653,,,,,,
1.520039101,311,1.520039101,3.352932828,,,,,,
1.505376344,308,1.505376344,3.357642003,,,,,,
1.51026393,309,1.51026393,3.362351178,,,,,,
1.471163245,301,1.471163245,3.367060353,,,,,,
1.451612903,297,1.451612903,3.371769528,,,,,,
1.461388074,299,1.461388074,3.376478703,,,,,,
1.480938416,303,1.480938416,3.381187878,,,,,,
1.51026393,309,1.51026393,3.385897053,,,,,,
1.520039101,311,1.520039101,3.390606228,,,,,,
1.51026393,309,1.51026393,3.395315403,,,,,,
1.534701857,314,1.534701857,3.400024578,,,,,,
1.539589443,315,1.539589443,3.404733753,,,,,,
1.534701857,314,1.534701857,3.409442928,,,,,,
1.529814272,313,1.529814272,3.414152103,,,,,,
1.559139785,319,1.559139785,3.418861278,,,,,,
1.559139785,319,1.559139785,3.423570453,,,,,,
1.568914956,321,1.568914956,3.428279628,,,,,,
1.578690127,323,1.578690127,3.432988803,,,,,,
1.60801564,329,1.60801564,3.437697978,,,,,,
1.754643206,359,1.754643206,3.442407153,,,,,,
2.082111437,426,2.082111437,3.447116328,,,,,,
2.502443793,512,2.502443793,3.451825503,,,,,,
2.917888563,597,2.917888563,3.456534678,,,,,,
3.035190616,621,3.035190616,3.461243853,,,,,,
2.878787879,589,2.878787879,3.465953028,,,,,,
2.482893451,508,2.482893451,3.470662203,,,,,,
1.999022483,409,1.999022483,3.475371378,,,,,,
1.622678397,332,1.622678397,3.480080553,,,,,,
1.471163245,301,1.471163245,3.484789728,,,,,,
1.495601173,306,1.495601173,3.489498903,,,,,,
1.559139785,319,1.559139785,3.494208078,,,,,,
1.56402737,320,1.56402737,3.498917253,,,,,,
1.583577713,324,1.583577713,3.503626428,,,,,,
1.617790811,331,1.617790811,3.508335603,,,,,,
1.617790811,331,1.617790811,3.513044778,,,,,,
1.60801564,329,1.60801564,3.517753953,,,,,,
1.617790811,331,1.617790811,3.522463128,,,,,,
1.637341153,335,1.637341153,3.527172303,,,,,,
1.622678397,332,1.622678397,3.531881478,,,,,,
1.637341153,335,1.637341153,3.536590653,,,,,,
1.647116325,337,1.647116325,3.541299828,,,,,,
1.671554252,342,1.671554252,3.546009003,,,,,,
1.676441838,343,1.676441838,3.550718178,,,,,,
1.656891496,339,1.656891496,3.555427353,,,,,,
1.705767351,349,1.705767351,3.560136528,,,,,,
1.730205279,354,1.730205279,3.564845703,,,,,,
1.720430108,352,1.720430108,3.569554878,,,,,,
1.725317693,353,1.725317693,3.574264053,,,,,,
1.769305963,362,1.769305963,3.578973228,,,,,,
1.774193548,363,1.774193548,3.583682403,,,,,,
1.779081134,364,1.779081134,3.588391578,,,,,,
1.798631476,368,1.798631476,3.593100753,,,,,,
1.827956989,374,1.827956989,3.597809928,,,,,,
1.857282502,380,1.857282502,3.602519103,,,,,,
1.876832845,384,1.876832845,3.607228278,,,,,,
1.906158358,390,1.906158358,3.611937453,,,,,,
1.930596285,395,1.930596285,3.616646628,,,,,,
1.984359726,406,1.984359726,3.621355803,,,,,,
1.994134897,408,1.994134897,3.626064978,,,,,,
2.028347996,415,2.028347996,3.630774153,,,,,,
2.072336266,424,2.072336266,3.635483328,,,,,,
2.106549365,431,2.106549365,3.640192503,,,,,,
2.11143695,432,2.11143695,3.644901678,,,,,,
2.150537634,440,2.150537634,3.649610853,,,,,,
2.160312805,442,2.160312805,3.654320028,,,,,,
2.15542522,441,2.15542522,3.659029203,,,,,,
2.145650049,439,2.145650049,3.663738378,,,,,,
2.116324536,433,2.116324536,3.668447553,,,,,,
2.077223851,425,2.077223851,3.673156728,,,,,,
2.003910068,410,2.003910068,3.677865903,,,,,,
1.930596285,395,1.930596285,3.682575078,,,,,,
1.857282502,380,1.857282502,3.687284253,,,,,,
1.793743891,367,1.793743891,3.691993428,,,,,,
1.749755621,358,1.749755621,3.696702603,,,,,,
1.676441838,343,1.676441838,3.701411778,,,,,,
1.637341153,335,1.637341153,3.706120953,,,,,,
1.598240469,327,1.598240469,3.710830128,,,,,,
1.554252199,318,1.554252199,3.715539303,,,,,,
1.534701857,314,1.534701857,3.720248478,,,,,,
1.549364614,317,1.549364614,3.724957653,,,,,,
1.544477028,316,1.544477028,3.729666828,,,,,,
1.524926686,312,1.524926686,3.734376003,,,,,,
1.524926686,312,1.524926686,3.739085178,,,,,,
1.539589443,315,1.539589443,3.743794353,,,,,,
1.534701857,314,1.534701857,3.748503528,,,,,,
1.529814272,313,1.529814272,3.753212703,,,,,,
1.549364614,317,1.549364614,3.757921878,,,,,,
1.539589443,315,1.539589443,3.762631053,,,,,,
1.554252199,318,1.554252199,3.767340228,,,,,,
1.544477028,316,1.544477028,3.772049403,,,,,,
1.554252199,318,1.554252199,3.776758578,,,,,,
1.56402737,320,1.56402737,3.781467753,,,,,,
1.56402737,320,1.56402737,3.786176928,,,,,,
1.56402737,320,1.56402737,3.790886103,,,,,,
1.583577713,324,1.583577713,3.795595278,,,,,,
1.603128055,328,1.603128055,3.800304453,,,,,,
1.593352884,326,1.593352884,3.805013628,,,,,,
1.583577713,324,1.583577713,3.809722803,,,,,,
1.617790811,331,1.617790811,3.814431978,,,,,,
1.60801564,329,1.60801564,3.819141153,,,,,,
1.598240469,327,1.598240469,3.823850328,,,,,,
1.612903226,330,1.612903226,3.828559503,,,,,,
1.612903226,330,1.612903226,3.833268678,,,,,,
1.617790811,331,1.617790811,3.837977853,,,,,,
1.632453568,334,1.632453568,3.842687028,,,,,,
1.60801564,329,1.60801564,3.847396203,,,,,,
1.627565982,333,1.627565982,3.852105378,,,,,,
1.627565982,333,1.627565982,3.856814553,,,,,,
1.60801564,329,1.60801564,3.861523728,,,,,,
1.60801564,329,1.60801564,3.866232903,,,,,,
1.637341153,335,1.637341153,3.870942078,,,,,,
1.637341153,335,1.637341153,3.875651253,,,,,,
1.60801564,329,1.60801564,3.880360428,,,,,,
1.617790811,331,1.617790811,3.885069603,,,,,,
1.617790811,331,1.617790811,3.889778778,,,,,,
1.60801564,329,1.60801564,3.894487953,,,,,,
1.60801564,329,1.60801564,3.899197128,,,,,,
1.612903226,330,1.612903226,3.903906303,,,,,,
1.622678397,332,1.622678397,3.908615478,,,,,,
1.622678397,332,1.622678397,3.913324653,,,,,,
1.603128055,328,1.603128055,3.918033828,,,,,,
1.617790811,331,1.617790811,3.922743003,,,,,,
1.622678397,332,1.622678397,3.927452178,,,,,,
1.632453568,334,1.632453568,3.932161353,,,,,,
1.603128055,328,1.603128055,3.936870528,,,,,,
1.632453568,334,1.632453568,3.941579703,,,,,,
1.637341153,335,1.637341153,3.946288878,,,,,,
1.627565982,333,1.627565982,3.950998053,,,,,,
1.632453568,334,1.632453568,3.955707228,,,,,,
1.632453568,334,1.632453568,3.960416403,,,,,,
1.632453568,334,1.632453568,3.965125578,,,,,,
1.637341153,335,1.637341153,3.969834753,,,,,,
1.65200391,338,1.65200391,3.974543928,,,,,,
1.681329423,344,1.681329423,3.979253103,,,,,,
1.69599218,347,1.69599218,3.983962278,,,,,,
1.715542522,351,1.715542522,3.988671453,,,,,,
1.700879765,348,1.700879765,3.993380628,,,,,,
1.715542522,351,1.715542522,3.998089803,,,,,,
1.715542522,351,1.715542522,4.002798978,,,,,,
1.720430108,352,1.720430108,4.007508153,,,,,,
1.764418377,361,1.764418377,4.012217328,,,,,,
1.779081134,364,1.779081134,4.016926503,,,,,,
1.754643206,359,1.754643206,4.021635678,,,,,,
1.730205279,354,1.730205279,4.026344853,,,,,,
1.725317693,353,1.725317693,4.031054028,,,,,,
1.700879765,348,1.700879765,4.035763203,,,,,,
1.686217009,345,1.686217009,4.040472378,,,,,,
1.69599218,347,1.69599218,4.045181553,,,,,,
1.686217009,345,1.686217009,4.049890728,,,,,,
1.666666667,341,1.666666667,4.054599903,,,,,,
1.65200391,338,1.65200391,4.059309078,,,,,,
1.637341153,335,1.637341153,4.064018253,,,,,,
1.627565982,333,1.627565982,4.068727428,,,,,,
1.637341153,335,1.637341153,4.073436603,,,,,,
1.612903226,330,1.612903226,4.078145778,,,,,,
1.622678397,332,1.622678397,4.082854953,,,,,,
1.642228739,336,1.642228739,4.087564128,,,,,,
1.632453568,334,1.632453568,4.092273303,,,,,,
1.632453568,334,1.632453568,4.096982478,,,,,,
1.617790811,331,1.617790811,4.101691653,,,,,,
1.661779081,340,1.661779081,4.106400828,,,,,,
1.627565982,333,1.627565982,4.111110003,,,,,,
1.627565982,333,1.627565982,4.115819178,,,,,,
1.637341153,335,1.637341153,4.120528353,,,,,,
1.656891496,339,1.656891496,4.125237528,,,,,,
